id,scope,project,area,category,type,path,title,summary,aliases,tags,status,confidence,updated,based_on,supports,implements,derives_from,related,applies_research,applied_by_project,generalizes_from,specializes,routes,keywords
evidence.archivist-138159f4cc5d,project,archivist,,,evidence,../../../../Documents/articles/projects/archivist/wiki/evidence/commit-138159f4cc5d.md,Commit 138159f4cc5d,Archivist commit evidence for 138159f4cc5d,138159f4cc5d,archivist|git|commit,active,medium,2026-06-02,138159f4cc5dd27a3b2ccd682fdd801592d2d15c,,,,,,,,,README.md,README.md
evidence.archivist-0db711ff220d,project,archivist,,,evidence,../../../../Documents/articles/projects/archivist/wiki/evidence/commit-0db711ff220d.md,Commit 0db711ff220d,Archivist commit evidence for 0db711ff220d,0db711ff220d,archivist|git|commit,active,medium,2026-06-02,0db711ff220d679fae977826f1b16afc4601ae52,,,,,,,,,.gitignore|README.md|bin/archivist-hook.mjs|catalog.csv|docs/INQUIRER_MEMORY_API.md|index.ts|lib/document-chunks.ts|lib/session-analysis.ts|package.json|prompts/BOOTSTRAP.md|prompts/OPERATING_DOCTRINE.md|scripts/check-extension.ts|skills/archivist/SKILL.md|tests/document-chunks.test.ts,.gitignore|README.md|archivist-hook.mjs|catalog.csv|INQUIRER_MEMORY_API.md|index.ts|document-chunks.ts|session-analysis.ts|package.json|BOOTSTRAP.md|OPERATING_DOCTRINE.md|check-extension.ts|SKILL.md|document-chunks.test.ts
